userName,score,content,at,sentiment
Gabriel Dyah,1,"deskripsi ap nya bilang (dengerin lagu secara offline) bener tapi di batasi beberapa hari doang terus suruh bayar premium,menurut ku masih ga masalah ,tapi makin lama kok malah makin parah banget skip lagu cuman bisa beberapa kali doang terus suruh tunggu beberapa jam terus di suruh paksa beli premium, sekalian aj ni aplikasi jual aj udh ogah banget gw pindah ap aj gw sekarang ,dengerin lagu kadang tiba tiba pas ganti lagu malah lagu luar bukan lagu dalem playlist mau di berhentiin tapi suruhByr",2025-05-03 10:58:50,negative
Nahda Nf,5,sukaa tapii banyak iklan ☺,2025-05-03 10:56:28,positive
Nita Nita,5,bagus dan tidak perlu bayar jika hanya mendegar kan nya,2025-05-03 10:53:54,positive
Fajri Handika F,5,Mayan langganannya gak mahal cukk,2025-05-03 10:48:03,positive
Cindy Aulia azahra,5,aplikasi ini bagus saya jadi suka bernyanyi ni,2025-05-03 10:42:53,positive
Almeidy Ziyaullah Azin_10B,4,"gacor, gw cinta bgt ama ni app. tapi masalah gw cuma 1, yaitu ketika gw mau buka lirik (biasa mau sing along....) malah blank, kosong ga ada tulisan bahkan peringatan juga ga ada",2025-05-03 10:38:38,positive
Fatimah Azzahra,5,bagus banget,2025-05-03 10:37:15,positive
Ecy Buncy,5,"SUKAK BANGET SAMA NI APLIKASI, bisa dengerin musik di luar apk, jadi nya seru main game sambil dengerin musik🤭 APALAGI TAMBAH DENGAN MAIN CHAI/C.AI SUMPAHH INI PENDENGAR MUSIK TERFAVORIT SIH!!!",2025-05-03 10:36:08,positive
Kila Rani,2,apaan dh gua kaga bisa dengerin lagu pas w pencet di paksa masuk premium,2025-05-03 10:30:59,negative
Trisna kage,5,nice,2025-05-03 10:30:35,positive
Rizky Alvian,1,kecewa premium yg 2.500 perhari nya dihilangin/9.700 perminggu juga dihilangin,2025-05-03 10:28:29,negative
Fadhlan Aja,5,mantap gaes,2025-05-03 10:28:14,positive
kevin Samosir,4,"halo, saya sudah pengguna spotify yang lama, saya sangat suka apk ini karna menyediakan lagu yang sangat banyak dan menyediakan liriknya, namun saya akhir akhir ini mendapatkan bug, saya ingin memutar lagu malah ada tulisan ""putar lagu apa saja kapan saja dengan premium"" saya kaget dan sedikit kecewa karna saya kaum gratisan, dan padahal tidak ada fitur pembatas pemutaran lagu per hari mohon perbaiki",2025-05-03 10:25:39,positive
Ayu Dwi Subekti,5,bagus banget aplikasinya🤩🤩 sejak pakek spotify kalok dengerin lagu jadi enak bisa sambil ngegame👍,2025-05-03 10:16:24,positive
Noval Alfiqri,5,karna bagus aplikasinya dan bisa juga nyari lagu yang lain,2025-05-03 10:16:04,positive
Ahmad Fauzi,5,bagus,2025-05-03 10:00:17,positive
Roni Abdulkadir,5,"Musik semua zaman, berarti dan sangat menghibur sekali smg kdepan lebih berjaya lagi.",2025-05-03 09:44:38,positive
Nael Wijaya,5,enak denger lagu dari Hindia kalo lagi nangis( ´･ω･),2025-05-03 09:41:25,positive
Christ Yang,5,sangat bagus,2025-05-03 09:39:29,positive
Ulum Mm,5,mantap,2025-05-03 09:35:33,positive
Alan Panji septia,1,apk ini kenapa harus premium jadi ga bagus lagi padahal kLo gratis trus kan enak jadi mls pake apk ini,2025-05-03 09:28:57,negative
Vabian Azzamy,5,baguz,2025-05-03 09:28:07,positive
dewi nursidiq,5,"bagus, tapi yang ga premium iklan nya di kurangin dikit aja , nanti udah bagus banget tuh. Tapi it's okay lah",2025-05-03 09:24:51,positive
Halid Almazaeni,5,amanah baik,2025-05-03 09:15:13,positive
Rizki Wildan,4,tolong musik nya jangan di hilang kan lagi,2025-05-03 09:01:53,positive
ari lisdianto,3,"ribet, harus premium juga muter lagu yg pengen kita dengerin, akhir nya muter lagu random",2025-05-03 08:55:01,neutral
Mengang Jilap,5,𝚂𝚊𝚗𝚐𝚊𝚝 𝚋𝚐𝚞𝚜 𝚍𝚊𝚗 𝚜𝚎𝚜𝚞𝚊𝚒 𝚍𝚒𝚐𝚞𝚗𝚊𝚔𝚊𝚗,2025-05-03 08:54:47,positive
Iwan HS,5,kualitas suara terbaik,2025-05-03 08:53:29,positive
Ghandy Gendeng,5,bagus sekali,2025-05-03 08:49:03,positive
Sugeng Medan,5,bagus,2025-05-03 08:39:59,positive
Ibra Baim,5,saya suka aplikasinya,2025-05-03 08:24:48,positive
Fransiskus Eldorado T.S,5,bagus banget ada lagi kesukaan ku di sini,2025-05-03 08:13:32,positive
Kayla Niko,5,asik bngt lagu²nyaa,2025-05-03 08:13:32,positive
Sejuta Indonesia,5,keren,2025-05-03 08:05:00,positive
Faisal fajar Fajar,1,plis jangan ada suffle aku gak punya uang masa harus beli premium semoga dijawab,2025-05-03 07:52:46,negative
Dafia Zahra,4,iklan Mulu Dan di suru banyar,2025-05-03 07:51:54,positive
Rahel ias Simare mare,5,keren,2025-05-03 07:51:47,positive
Siraj As,4,"yang di janjikan di iklan nya klo daftar Spotify premium kualitas suaranya lebih bagus kek di konser, akhir nya ak cba deh Spotify premium. coba di bandingin suara musik ny sama YouTube go dngn level volume yg sama, masih jauh bnget, lebih full power YouTube go... jd kesimpulan ny jika belum bisa sebanding atau lebih dr aplikasi yg lain ya jngn di janjikan.. gtu bosssku.. thx",2025-05-03 07:48:10,positive
Gabriel Sebastian,5,memang terbaiklah nih,2025-05-03 07:46:20,positive
Zyrex,5,"Update, sekarang spotify anj !!!oke gk bisa mundurin lagu Ini ganti lagu aja nggak bisa tolol padahal 2 tahun pengguna aplikasi ini, kecewa Gw sempat premium 3 bulan dah abis premium-nya sekarang udah stop premium malah nggak bisa ganti, malah suruh premium lagi maunya apa si, apa-apa disuruh premium apa-apa di suruh premium mentang-mentang udah naik daun, kalau apk lain mah gk premium no problem ini dibatasi kalau mau majuin/mundurin lagu dibatasi setiap hari minimal 6 lagu, sorry gw uninstall.",2025-05-03 07:41:25,positive
Alam Nasition,4,bagus aja udh itu aja,2025-05-03 07:20:59,positive
iman lintang pranata,1,"aplikasinya ngebug, iklannya ga muncul muncul",2025-05-03 07:20:00,negative
denis dwi kurniawan,5,good,2025-05-03 07:17:55,positive
Nizam Ramdan fauzi,5,bagus,2025-05-03 07:16:30,positive
Cello Maury,5,bagus bgt,2025-05-03 07:11:31,positive
Khayla Irvina,5,"bagus banget aplikasinya, cuma kadang suka nge lag pas di play 00.00 terus. semoga bisa di perbaiki lagii yaa",2025-05-03 07:08:41,positive
Juned j,5,saya sangat suka menggunakan aplikasi spotify in karena aplikasi ini bisa mendengarkan lagu dengar cara gratis dan premium(bayar).mendengari lagu yg kamu suka bisa tetapi kalo kamu mau mendengari lagu kesukaanmu dengan puas kamu harus membeli premium.ayo donwlod sekarang👍😉,2025-05-03 07:07:10,positive
rayhan saputra,2,"ada bug,saat iklan tapi iklannya ga ke puter jadi ya ga bisa denger lagunya dan itu ganggu banget",2025-05-03 07:04:44,negative
Kevin,5,"2 bulan langganan premium puas banget bisa dengerin lagu tanpa terganggu sama iklan, bisa dengerin di kualitas tertinggi juga. harapannya buat kedepan semoga banyak fitur-fitur unik dan baru untuk pengguna premium. semoga juga rencana buat membawa Hi-res audio nya segera di hadirkan yaa..",2025-05-03 07:04:07,positive
Erwin andriansyah Win,5,Sangat ok,2025-05-03 06:59:12,positive
gak tau siapa,1,bikin paket premium mini lagi,2025-05-03 06:52:53,negative
Citra Hernawati,5,saya suka sama spotify saya bisa mendengar kan lagu 🎤🎶🎵,2025-05-03 06:44:41,positive
Qiqi.valentino@gmail.com Valentino,5,"praktis,gampang nyari lagu²nya",2025-05-03 06:35:18,positive
Zalva Dareeta,4,ini kenapa spotify nya jadi terbatas?? tpi bagus kok👍,2025-05-03 06:21:37,positive
Ari Audrey4Audreya13,5,Boss... Perasaan belum lama update udah update lagi??????!,2025-05-03 06:06:49,positive
Aidil Ibrahim,4,enak aja,2025-05-03 06:06:24,positive
Noyraaa,1,"Tanpa mengurangi rasa hormat, sekarang kenapa fiturnya makin dibatasi? seolah olah dipaksa harus berbayar, saya mengerti perusahaan harus dapat income yang layak, namun makin hari makin kurang suka sama kebijakan spotify sendiri, untuk pemilihan lagu perhari dibatasi, untuk playlist acak masih bisa ditolerir, ini sampai klik musik yang mau diplay juga dibatasi perhari? like what? masalah iklan juga makin menjadi, 1 lagu play 2x iklan setelahnya, dan durasi periklan lama. Kecewa dengan spotify!",2025-05-03 06:04:18,negative
Wildana Damayanti,5,"suka banget, belajar sambil dengerin musik di spotify",2025-05-03 06:03:06,positive
muhammad teguh,5,muantap,2025-05-03 05:53:16,positive
azka azka,5,sangat keren,2025-05-03 05:49:12,positive
Ika Mustika,4,kurang lengkap,2025-05-03 05:38:18,positive
Tumpal Hutabarat,5,mantap,2025-05-03 05:25:16,positive
Tinie Resky,5,bagus,2025-05-03 05:07:50,positive
Jakk,3,"banyak bug akhir"" ini. kayak tiba"" buffering lagunya pdhl jaringan bagus, trus blum kelar lagu tiba"" langsung ada ads. but overall aman lah cuma itu aja",2025-05-03 04:59:49,neutral
Ris Sakit hati,2,saya tidak tahu ntah kenapa kadang suaranya tidak jernih ntah karena hp saya atau emang aplikasinya dan musiknya emang tidak jernih suaranya tolong diperbaiki kalau emang aplikasi yg bermasalah 🙏,2025-05-03 04:57:29,negative
Jack Rock,5,good,2025-05-03 04:50:40,positive
Mumuh Muharom,5,sangat bagusss,2025-05-03 04:50:23,positive
fachrur rozi,5,suara bagus dan lagu2nya lengkap,2025-05-03 04:49:42,positive
Hariyanto Hariyanto,4,sayangny banyak iklannya,2025-05-03 04:43:12,positive
Khanifatin hanif,5,mau premium gratis,2025-05-03 04:39:57,positive
Afnan,5,mantap,2025-05-03 04:32:17,positive
Safari Ari,5,keren semua music yg kita inginkan xrmua ada disini..Expresikan gayamu di SPORTIFy,2025-05-03 04:27:25,positive
Fransiska Febuari Lora Lora,5,"aplikasiii iniii enakkk bangetttt buatt dengarr musikkk, thanksss yuuuuu🤍",2025-05-03 04:24:45,positive
fachwanrudy arudy,5,cumzn satu kata MANTAAAABZ,2025-05-03 04:14:09,positive
Kosasih Abdulah,4,mudahnya dengarkan musik sambil tiduran membuat ku lelap,2025-05-03 04:09:54,positive
Kenza Alghivano,5,lagu nya pada bagus bagus seru pula😊,2025-05-03 03:56:18,positive
Arif Rudianto,5,awesome,2025-05-03 03:53:49,positive
Abraham Ryananda,1,"ya gua tau sih di suruh berlangganan cuma jgan baru 1 lagu terus iklan dong, gua juga mau pake fitur premium nya juga ga bisa",2025-05-03 03:51:19,negative
arfa nurhanafi,2,Kagak bisa anjay jadi aku kasih reting segini aja dah lah,2025-05-03 03:47:57,negative
Mat Yasin,4,oke,2025-05-03 03:47:55,positive
Iwan Iwan,5,sangat bagus dan berguna,2025-05-03 03:41:37,positive
arfyansyah Satya pratama,5,mantap,2025-05-03 03:37:31,positive
veiro PR17,5,enak buat epep,2025-05-03 03:35:41,positive
Keke Dewi,5,bisa menemani mood ku dimana saja,2025-05-03 03:30:30,positive
Lies Noor,5,bgus,2025-05-03 03:25:50,positive
Abdul Barr1455,5,gampang nyetel nya,2025-05-03 03:22:00,positive
Erick pdd,5,seruu lagunya,2025-05-03 03:21:01,positive
Miranti Mira,5,lagu nya enak bisa diputar di latar belakang seruh dan semua vidtur cocok jadi 5,2025-05-03 03:18:38,positive
Andri Yansah,3,bagus sih tapi tenyaho,2025-05-03 03:11:18,neutral
Priyono Siswamto,5,pilihan lagu n kualitas lagu yg bagus,2025-05-03 03:06:52,positive
Rayyan Ramadhan lembah,5,bagus keren 🫰😘🥰😍🤩,2025-05-03 03:06:51,positive
Rena Wati,2,Baguss,2025-05-03 02:59:08,negative
Ayla zahira zaenal,5,banyak lagu favorit saya di Spotify💐💐,2025-05-03 02:53:15,positive
rus dani,5,mantap,2025-05-03 02:43:10,positive
Nurhasan,5,"ini sih keren banget, lagu favorite lengkap ada semua sportify pokoknya best apss lah mancappp.",2025-05-03 02:33:18,positive
Dindaalkirmani Kirmani,5,bagus banget😘😘,2025-05-03 02:29:08,positive
AZIIZ,1,bisa enggal iklan nya gausah lebay😑,2025-05-03 02:28:43,negative
Hilal Bagas,2,terlalu banyak iklan,2025-05-03 02:28:21,negative
Tari doang doang,5,bagussssss bgttt,2025-05-03 02:21:05,positive
Edis Siregar,5,bagus tidak banyak iklan,2025-05-03 02:18:29,positive
YENNY SIANIPAR,4,"Suka pakek banget,tapi mau ny ada fitur yg bisa nge download tanpa perlu harus bayar/premium..Soalnya gk semua org ada paket terus",2025-05-03 02:08:16,positive
Salwa Cantika,5,baguss bgttt aplikasi nya,2025-05-03 01:47:23,positive
Iyus Kurmayadi,5,cool,2025-05-03 01:47:17,positive
Muhammad Furkan,4,👍,2025-05-03 01:43:24,positive
Salwa Ekapati,5,SUKAAA BANGETTTT,2025-05-03 01:43:09,positive
Lionel Khaffi el azham,5,good,2025-05-03 01:19:45,positive
mahfudin 11,5,bagus kata aku mah yaa🤍💋,2025-05-03 01:02:03,positive
Nanang Jayarasa,5,jalan2 kemana mana slalu enjoy bersama spotify,2025-05-03 00:57:19,positive
Dicta Freda,5,"bagus, semua lagu ada tapiii, jangan semuanya bayar ya udh sih itu aja",2025-05-03 00:49:02,positive
Mobile Legends,3,baru nyoba aplikasi ini,2025-05-03 00:48:48,neutral
Pantai Cermin,5,ini bagus kali jangan lupa di download nya,2025-05-03 00:46:54,positive
Muhammad Azka raffasya,5,"keren ..lagu""nya kompliit ..bagus",2025-05-03 00:38:03,positive
Elin Kholid,5,bagusssss,2025-05-03 00:33:02,positive
Suliyanto Suliyanto,5,"lagunya baru2 bagus,enak di dengarkn pagi siang malm.",2025-05-03 00:15:44,positive
Ali Tofa,5,"puas poll dengerin hiburan di spotify GK rugi ayo kwn Monggo Ndang download, salam sehat dari Ali tofan taman Sidoarjo.",2025-05-03 00:14:26,positive
Young Darakula,5,love u sptfy,2025-05-02 23:56:24,positive
Opall Ny,5,Keren massehh,2025-05-02 23:20:21,positive
RM iwan channel setiono,5,mantap,2025-05-02 23:17:54,positive
Hanum Sucipto,5,baguss bingiittttt,2025-05-02 23:15:25,positive
Hafiza Andhini,5,mantab,2025-05-02 22:58:08,positive
Kama Riah,1,jelek banget,2025-05-02 22:51:59,negative
Belut Cipari,5,ini sangat bagus,2025-05-02 22:42:34,positive
Pebriansah Arizal,4,aplikasi nya sangat membantu cuma ada - nya sedikit iklan nya terlalu alay,2025-05-02 21:21:31,positive
Claudio Sarmento,5,sangat baik,2025-05-02 21:20:04,positive
TIO TRI SUSANTO TIO,4,baik,2025-05-02 20:53:45,positive
Debcikan,1,sekarang kesannya maksa banget harus premium trs spotify premium mini udh ga ada kalo yg denger musik jarang jadi sayang banget kalo harus premium bulanan,2025-05-02 20:42:40,negative
irmawati bukhairi,5,biasa a,2025-05-02 20:11:11,positive
Kuya kayy faryala,5,baik,2025-05-02 19:47:43,positive
Ameu Ameurudding,5,terimakasih banyak lagunya asik bosku,2025-05-02 19:07:31,positive
Gody Naimnule,5,The best,2025-05-02 18:49:21,positive
triplek keplek,5,mantap nihh,2025-05-02 18:30:30,positive
Yeriko Sambul,5,pokoknya aplikasi yang rekomen bngtt..,2025-05-02 17:47:25,positive
AZLINA Lina,5,semua lagu yang saya ingin kan semua ada sangat bagus buatku,2025-05-02 16:57:25,positive
Dawwas Darrel,4,keren,2025-05-02 16:26:38,positive
Sodik 098,5,💯👍🇮🇩💃💃💃☕✌️🙏😁 jos🇮🇩,2025-05-02 16:22:16,positive
Bintang Radinkha,3,aku suka,2025-05-02 16:21:27,neutral
Rosa Anggraeny,5,lagu nya enak,2025-05-02 15:47:23,positive
anggit adwitya,1,"mau putar lagu harus nonton iklan, tapi iklan nya gk muncul-muncul itu gimana coba? masa harus natap layar item terus² an Jangankan hapus cache, udah di download ulang masih gk berubah",2025-05-02 15:47:15,negative
Mikha Syakira,5,waw emejing😍😍😍😍😍luv it,2025-05-02 15:35:30,positive
Mevina Alexandra,5,Bagua,2025-05-02 15:31:28,positive
Fitria Mangeke,5,bagus,2025-05-02 15:30:56,positive
Audi Tewu,5,mataap,2025-05-02 15:21:05,positive
Rio Febriyan,1,gua saranin jangan download ini aplikasi karena habis download hp gua iklan nya sepotifay terus,2025-05-02 15:16:00,negative
Amanda Syafira,5,Bagus pokoknya deh aplikasi nya 😻💐👊,2025-05-02 15:02:01,positive
Mang Sur,5,apk nya kueren bener bisa dengerin sound,2025-05-02 14:46:43,positive
Reinaldiyeah72,5,cakep promonya makin dibanyakin lagi dong hehehehe,2025-05-02 14:43:57,positive
Tiara Andreani,5,aplikasinya bagus bngt,2025-05-02 14:40:03,positive
Nayla Azahra,5,seru tapi tolong iklan nya dong klo saya lagi dengerin lagu pasti ada aja iklan nya tolong ya di apus iklan nya,2025-05-02 14:34:10,positive
DEMI MENGAJI,5,bagus,2025-05-02 14:26:32,positive
Wiwit ae,5,good,2025-05-02 14:16:38,positive
Helmi Muna,5,lagu nya sangat enak dan bikin saya ketagihan,2025-05-02 14:13:36,positive
Kanaya Sharliz Nailah,4,"Appnya bagus, aku paling suka tampilannya spotify karena dia simple tapi aesthetic. But one thing that piss me off is...tolong jangan perhitungan banget dong 😔😔😔 masa fitur sederhana aja dijadiin fitur prem 😔😔😔 tolong bgt ini mah yak",2025-05-02 14:09:49,positive
Aku sayang Jungkok,5,banyak varian lagu dan lagunya jelas ditelinga. Enak poll,2025-05-02 13:51:07,positive
Lambertus -,5,oke banget...!!!,2025-05-02 13:45:46,positive
Komang Leonitaa,5,sangat bagus,2025-05-02 13:43:33,positive
Velove Muaya,1,"gaada suaranya, pdhl hp g error + jrgn bagus udh ganti akun + uninstal tapi pas instal lg ttp gaada suaranya pdhl lagunya jalan, apk lain ada suaranya tp yg in gaada",2025-05-02 13:40:13,negative
Kafina Zahratul,5,👍💟,2025-05-02 13:39:32,positive
ell picoww,5,asik banyak jutaan lagu yang ku suka,2025-05-02 13:39:31,positive
m arifin,5,okee,2025-05-02 13:35:45,positive
Irzhi mikayla Kayla,5,bagus,2025-05-02 13:29:02,positive
Aril Aziz,5,sangat ok,2025-05-02 13:22:56,positive
Thomas Americho,3,terima kasih,2025-05-02 13:12:28,neutral
Rafi Rahmattulloh,1,Ada konten dewasa. tidak bisa di filter,2025-05-02 13:09:13,negative
Indar Tawarsa,1,"lama² mkin gajelas, mau nyetel pagi apa yg muter lagu apa",2025-05-02 13:05:48,negative
Err Vin Tan,5,bagus banyak lagu yang bisa aku hafallin soalnya kalo di YouTube ga sampe habis lagu nya dan juga aku ada tugas hafallin lagu mengheningkan cipta,2025-05-02 13:05:32,positive
Varel Metekohy,4,"bagus tapi kendalanya tiba"" beberapa artis di album"" sya berubah menjadi bahasa jepang secara tiba""",2025-05-02 12:41:39,positive
Fitri Setianingsih,5,sangat baguss,2025-05-02 12:38:47,positive
Danish Ahsan Najhan,4,"Seandainya fitur ulangi lagunya ada lagi pasti bintang 5 dah. edit: kemarin, Kamis, 1 Mei 2025 perasaan fitur ulangi lagunya masih ada, tapi kenapa balik ke yang gak ada lagi?",2025-05-02 12:34:02,positive
Meila Setiyani,5,"lagu yg sudah kusimpan atau kusukai,tidak ada,hilang . dan saat dalam pencarian lagu tidak ada/tersedia .cuma beberapa saja,kenapa ya?",2025-05-02 12:33:39,positive
destiaravicha45,4,IKLAN NYA MOHON DI HILANGIN KARNA ITU GANGGU BENER PLSS,2025-05-02 12:31:43,positive
nurabidah tkl,5,❤️🥰❤️🥰,2025-05-02 12:25:47,positive
Irsad Sodik,5,🤫,2025-05-02 12:20:21,positive
Yuki Silsa,5,bagus bangettt,2025-05-02 12:20:14,positive
MATA ANGIN,5,bagus,2025-05-02 12:11:14,positive
Al kosim,5,aplikasi yang cocok buat gw,2025-05-02 12:08:31,positive
Rafi Ilham09,1,aplikasi bayar,2025-05-02 12:05:09,negative
Dani Alpiasah,5,keren bet d=(^o^)=b,2025-05-02 12:04:02,positive
Atif Zaki,1,gara2 punya kakak ku,2025-05-02 11:59:16,negative
Rizky m Maulidan,5,cakep,2025-05-02 11:55:42,positive
Angel_ ann,4,👌👌👌,2025-05-02 11:44:55,positive
Afrizal R.Sugiyarto,5,mantap untuk teman sehari hari,2025-05-02 11:42:02,positive
Aril Wijaya,5,ok,2025-05-02 11:41:05,positive
eliana husni,5,mantep,2025-05-02 11:40:53,positive
ayu rahmawati,5,hidup jauh lebih rame dengan mendengarkan spotify,2025-05-02 11:37:47,positive
Nabilanur Azizah,1,"makin lama kok malah makin jelek si? fitur premium mini di hapus, dengerin lagu gak bisa sesuai yang di mau, sebelum update masih bagus bagus aja, kok setelah update jagi gini?apa apa serba premium.",2025-05-02 11:34:42,negative
fian manopo,5,ok banget,2025-05-02 11:29:20,positive
Wansuud JRDS,2,kata nya gak ada iklan nya tapi kok masih ada??terus ada dikit gangguan kayak premium nya padahal aku gak mau...maaf aku hanya menyarankan kalau premium nya bisa di notifikasi bukan kayak gitu ini aku pencet lagu nya kagak bisa ??😌🙏🏿,2025-05-02 11:28:01,negative
Retno Dwiesin,5,ini sangat nyaman untk di dengar,2025-05-02 11:27:31,positive
Iqbal Herruw,3,"makin hari makin pelit, semua dipremiumin",2025-05-02 11:22:56,neutral
Gusti Genta,2,update yang aneh sudah lama pake Spotify setiap putar lagu tidak ada batasannya dan paling hanya iklan tapi Baru tadi saya putar sudah ada batasan pemutaran lagu yang mana tidak bisa memutar musik sesuai keinginan dan hanya manual berganti ketika musiknya berakhir dan itu bagi saya sangat menggangu. menurut saya ini update yang sangatlah aneh untuk aplikasi berbasis musik yang mana ingin di dengarkan terus menerus. sekian dari saya,2025-05-02 11:05:43,negative
iwan nawi,5,didengerin ya asik,2025-05-02 11:04:20,positive
Dina Tefa,1,terlalu banyak iklan,2025-05-02 10:56:30,negative
Kesya Alkhodifa,5,sangat menghibur,2025-05-02 10:51:31,positive
Zivilia Lilii,3,"dulu spotify kgk iklan ny jir, setiap ada iklan gw wajib kecilin volume sampe volume gw kendor/error ngotak dikit lah kalo mau ngiklan kek app lain lah minimal",2025-05-02 10:44:09,neutral
fika kristina,5,saya sangat senang karena lagu nya lengkap bikin rilex,2025-05-02 10:40:33,positive
Septa Fatjri,5,wow,2025-05-02 10:40:03,positive
Iis Ghinafarsya,5,bagus banget aku sukaaa💋❤️❤️❤️❤️😭😭,2025-05-02 10:32:30,positive
Ariga Bly,5,mantap lagunya semoga ditamba fitur2 lain,2025-05-02 10:10:31,positive
Jito vlog,5,OK,2025-05-02 10:08:38,positive
Masruri Ruri,5,"seru jir bisa main game sambil dengerin lagu kesukaan, pokoknya aku rekomendasi banget nih aplikasi! 😖",2025-05-02 10:06:48,positive
Dhia Tabina shula,2,bagus lah pokonya,2025-05-02 10:00:16,negative
pradana danz,5,good,2025-05-02 09:55:22,positive
Yeny Aisyah,3,keren aku bisa pakek ini saat main ff sama ML seru aku sih mau ini di perbarui biar ada lagu lain yang keren mantap,2025-05-02 09:51:55,neutral
Asha Ayana,5,bagus,2025-05-02 09:49:35,positive
IKLADS Huyu,1,aplikasinya ga bagus apa² harus premium,2025-05-02 09:36:04,negative
Rasya Roberr,5,baguss,2025-05-02 09:21:51,positive
Ardiansyah Arrahim,4,perbaiki,2025-05-02 09:03:07,positive
Rasmi kasih Senada cinta,4,kenapa sih harus VIP dulu sih,2025-05-02 08:55:22,positive
Andy Supriyanto,5,lebih mantap,2025-05-02 08:49:50,positive
bni bojonegoro,5,mantab,2025-05-02 08:44:19,positive
renata nurfadila,3,kok eror ya aku nge klik lagu apa yang muncul apa,2025-05-02 08:38:57,neutral
Aziziyah Kyara Wicaksono,5,👍👍👍👍👍,2025-05-02 08:36:08,positive
Rusgianto Topung,5,ya bagus ajaa sihh,2025-05-02 08:31:14,positive
Drill Faxx,5,mantap,2025-05-02 08:14:43,positive
Helmy Rayhan Bagaskara,5,"semakin update semakin lama durasi iklan, tapi ya sudahlah nikmati saja karena mendengarkan musik disini sangat mudah sekali tanpa musik mati ketika keluar aplikasi",2025-05-02 08:14:35,positive
Adellia Artha Aulia,5,saya jadi rileks dan semangat untuk hidup dan memunculkan energi 🙏🙂‍↕️,2025-05-02 07:58:38,positive
Kamila wafa,5,"sangat bagus lancar, tp ad masalh pokoknya setiap aku buka lirik selalu ad batasnya, trs bnyk yg premium, tp aku tetep suka kok",2025-05-02 07:55:04,positive
Dhiwa Dhiwa,1,"spotify ga responsif aneh, mau nyetel lagu atau ganti lagi harus nunggu lama banget ga langsung ke play",2025-05-02 07:49:56,negative
Miftahul Qalbi,1,"Dikit"" bayar dikit"" premium buat kalian yang ngakk mau cari apk gratis pake sound cloud aja gratiss kokk",2025-05-02 07:37:39,negative
Salsabila Aulia,5,"y bgs bgt,ak sukak! 🤭🤭🤭",2025-05-02 07:34:24,positive
Jaenal Abidin,5,saya YES...,2025-05-02 07:28:50,positive
Muhammad Putra Akbar,5,bagus dan berguna 👍,2025-05-02 07:25:25,positive
Mochtar,5,suara jernih,2025-05-02 07:10:52,positive
Ririn Wijayanti,5,bagus banget 👍,2025-05-02 07:10:04,positive
Syafiq Wildan,5,keren aplikasinya cocok buat aku yang suka nge-sad,2025-05-02 07:06:36,positive
Clearesta Zeva,5,"musik²nya bikin naikin mood bangett, the bdst deh pokonyaaa",2025-05-02 06:53:50,positive
Aldeen Hadwan,1,susah login,2025-05-02 06:52:53,negative
Monika Dawanaplani,4,👍👍👍👍👍👍,2025-05-02 06:50:35,positive
Athaalla Rakanahaya,5,good appk,2025-05-02 06:40:26,positive
Anastasia Chrysanta Angela,5,sukaaaa bangetttt,2025-05-02 06:34:08,positive
Robin Creator,5,mantappppp,2025-05-02 06:32:42,positive
Agus Maradona,5,bagus dan menghibur.,2025-05-02 06:27:24,positive
Ega Suryaprima,5,karna lagunya enak,2025-05-02 06:24:48,positive
Nur Cholis,5,tolong iklan ny ajj d kurangi,2025-05-02 06:19:57,positive
Afiq Rayyan,5,aplikasi yg keren,2025-05-02 06:19:48,positive
Rendra Pratama,5,bagus bgt🤩 bisa dengerin lagu apapun yang kita mau pokoknya bagus terimakasih SPOTIFY👍👍👍,2025-05-02 06:18:28,positive
Agus Romdon,5,mantappppppp,2025-05-02 06:07:27,positive
Tuin Wan,5,semoga sukses selalu,2025-05-02 05:58:03,positive
Dwiisusillo Susillo,5,good,2025-05-02 05:52:32,positive
Gegril,2,kikir,2025-05-02 05:51:09,negative
Wahyu Putra,5,aplikasi nya bagus banget untuk dengerin lagu tapi banyak iklanya,2025-05-02 05:45:22,positive
Raffa Akbar,5,dirangkul dan dipeluk seperti layaknya saudara ~~ lanjutin min,2025-05-02 05:01:45,positive
Fiaa 123,5,spotify sangat bagus tapi saya tidak bisa mendowlod lagu 🥺🥺 tapi tidak papa saya sangat terhibur Terima kasih spotify ☺🤗 tapi ada gangguan sih karena saat ada iklan lewat lagunya jadi hilang dan harus mulai ulang tolong diperbaiki ya 🙏🏻🙏🏻,2025-05-02 04:56:12,positive
Lumbantoruan Sihombing,5,Aplikasi yang sangat bagus dan sempurna menurut saya,2025-05-02 04:48:25,positive
Donna Permadi,5,mantulll,2025-05-02 04:44:22,positive
Lionel Marik,5,sangat bagus,2025-05-02 04:36:42,positive
Zhafran Cello,5,aplikasi nya bagus kalo main game sangat seru dan aku menang terus,2025-05-02 04:34:39,positive
Saskia Thr,4,sukaaa banget piliss♡ karena semua lagu adaa tapi...aku gak suka kalau lagi enak² dengar musik tiba² iklan dan iklannya sangatlah lama dan sering muncul juga...jadi tidak apa-apa ya jika bintang 4 ajaa??,2025-05-02 04:28:45,positive
FeNdY 22R,5,perfect no issue,2025-05-02 04:26:10,positive
Rafiqo Waliuddin,5,I love spotify,2025-05-02 04:24:22,positive
Wardi RaiComp,5,sangat Bagus Dan BeKelas..,2025-05-02 04:15:50,positive
